"uniqueID","manmade_mean","manmade_sd","precious_mean","precious_sd","lives_mean","lives_sd","heavy_mean","heavy_sd","natural_mean","natural_sd","moves_mean","moves_sd","grasp_mean","grasp_sd","hold_mean","hold_sd","be.moved_mean","be.moved_sd","pleasant_mean","pleasant_sd","arousing_mean","arousing_sd","n"
"milk","2.1892","1.5246","4.3243","1.6168","2.0270","1.4431","2.8108","1.5606","6.2432","1.0383","2.7297","1.8656","3.3784","1.8158","3.9189","1.9491","5.1081","1.6463","5.3784","1.3612","2.9459","1.3112",38
"milkshake","6.7105","0.5151","3.7632","1.7153","1.5263","0.9223","2.1316","1.2119","3.5526","2.0885","1.7895","0.9052","5.7632","1.4414","6.0263","1.0263","6.2632","1.0315","6.3158","0.9893","2.9737","1.7318",38
"minivan","6.4872","1.3352","4.0256","1.8423","1.4872","1.0972","6.7692","0.6267","1.4615","0.7199","6.4872","0.9423","3.2821","1.9594","1.6154","0.9898","5.2308","1.7691","4.7179","1.2128","3.8718","0.8639",38
"mint","1.2973","0.6176","4.4054","1.4806","5.9730","1.4431","1.2973","0.6610","6.6757","0.6260","2.6757","1.6508","6.2432","1.0383","6.3784","0.8612","5.9459","1.2006","5.7838","1.2939","2.7568","1.4982",38
"mirror","6.5833","0.8062","4.3333","1.6562","1.3056","0.5248","4.7222","1.4660","2.3889","1.2254","1.8889","1.3475","4.8889","1.3475","4.6944","1.5273","4.7500","1.5000","4.9444","1.2408","3.6944","1.1909",38
"missile","6.8378","0.4418","3.7838","2.2501","1.5946","1.3429","6.7568","0.4947","1.2973","0.6610","5.8108","1.4499","2.1351","1.5305","1.5135","0.9316","2.5676","1.7879","2.1622","1.3440","5.7297","1.2834",38
"mistletoe","3.1081","2.1958","4.6216","1.8908","5.5676","1.7566","1.5946","1.0398","6.0270","1.3226","2.8649","1.6357","6.1892","0.9672","6.3514","0.7534","6.2432","0.8946","5.7027","1.0505","3.6757","1.2922",38
"mitten","6.7714","0.7702","3.9429","1.7311","1.1714","0.3824","1.3143","0.7581","2.6286","1.3951","2.3429","1.6439","6.8000","0.4728","6.8571","0.4937","6.8571","0.3550","5.7429","1.1205","2.9714","1.3824",37
"mixer","6.9459","0.2292","3.5676","1.5373","1.1892","0.6163","5.0541","1.3529","1.2703","0.4502","4.5946","1.8327","4.9730","1.2580","4.6486","1.3787","4.9459","1.3934","5.0541","1.1772","3.8919","0.9940",37
"moccasin","6.7632","0.5897","4.6316","1.7308","1.3684","0.7857","1.5789","0.9762","3.1842","1.6742","2.8947","1.7366","6.4737","0.8617","6.6316","0.7136","6.6316","0.7857","5.3684","0.9421","3.3947","1.0790",37
"modem","6.7368","0.5032","4.6316","1.7770","1.3947","0.8555","2.2368","1.8517","1.3158","0.6197","1.7632","1.2178","5.9737","1.3252","6.1053","1.2256","5.9474","1.2723","4.3421","0.9939","3.9211","0.6317",37
"mold1","6.6923","0.5691","3.3590","1.5129","1.2308","0.4268","3.1795","1.6201","1.6923","0.8631","1.4872","0.9423","5.8974","1.0710","5.8462","1.1594","5.7949","1.3989","4.7436","0.8497","3.5128","0.9140",37
"mold2","1.7500","1.2956","2.0556","1.2176","6.0278","1.1829","1.5833","0.9063","6.0833","1.2734","4.3056","1.5824","4.3611","1.5884","4.4444","1.6291","4.1111","1.8327","1.6667","1.0420","5.6944","1.5084",37
"mole","1.1500","0.3616","3.9750","1.9675","6.7250","1.0374","2.9500","1.7090","6.8500","0.3616","6.8500","0.4267","4.1500","1.5616","3.7750","1.4934","4.4250","1.5172","3.5750","1.3939","4.7000","1.0427",37
"money","6.8947","0.3883","5.8158","1.4492","1.1053","0.3110","1.4211","0.7929","1.6842","0.9893","2.2895","1.6751","6.5000","0.6877","6.6579","0.4808","6.6316","0.5891","5.3947","1.5341","4.6316","1.3441",36
"mongoose","1.0811","0.2767","4.2973","1.7930","6.8649","0.4191","2.9459","1.1534","6.7297","0.5082","6.8378","0.4418","2.8378","1.5003","2.8108","1.5062","3.7568","1.6567","4.0000","1.2693","4.6757","1.1069",36
"monkey","1.2500","1.0247","5.6111","1.4198","6.8333","0.4472","4.5833","1.3601","6.7778","0.4847","6.8056","0.5767","3.4722","1.5581","3.5833","1.5000","3.7778","1.4165","5.1389","1.2456","4.4167","1.1802",40
"moose","1.2703","1.0179","5.3514","1.6536","6.8919","0.3148","6.6486","0.6756","6.7297","0.6519","6.8919","0.3148","2.3784","1.6047","1.5946","1.0661","2.1351","1.3977","4.7838","1.1579","3.9730","1.3014",40
"mop","6.6667","0.5774","2.4615","1.7449","1.3333","0.6623","2.3077","1.2805","1.8974","1.1191","3.5385","1.9446","6.3590","0.5843","6.3846","0.5901","6.4103","0.7853","3.7692","1.0628","4.0000","0.7255",36
"mosquito","1.1053","0.3110","2.1579","1.3054","6.8421","0.4366","1.1842","0.5626","6.6842","0.6197","6.8947","0.3110","3.1053","1.5560","3.4211","2.2255","4.2895","2.1922","1.2105","0.4132","6.4474","0.8913",36
"mosquito_net","6.8000","0.4728","4.0000","1.9554","1.0857","0.2840","1.6571","0.9684","1.7429","1.4213","3.1429","1.9424","6.0571","0.9375","5.7714","1.3522","5.6571","1.4940","5.1714","1.4035","3.3714","1.3522",36
"moss","1.3056","0.7863","3.9167","1.7134","6.4444","1.1325","2.1944","1.4701","6.8611","0.4245","3.0278","2.0352","5.1944","1.4894","4.9167","1.6626","4.4722","1.9344","4.8611","1.2684","3.0556","1.2861",36
"moth","1.2432","0.8302","4.2162","1.8876","6.7027","1.0505","1.3514","0.9780","6.7027","0.7403","6.7297","0.7691","3.4595","1.8042","4.2973","1.8836","4.5946","1.8478","4.1892","1.4110","4.2973","1.3512",39
"motherboard","6.5833","1.0790","4.0278","1.9638","1.5278","1.1081","2.5278","1.4830","1.5278","1.0278","1.8056","1.3484","5.3056","1.7041","5.6667","1.1952","5.5833","1.2507","4.3889","0.8028","4.0833","0.7700",39
"motorcycle","6.7105","1.0110","4.6579","1.5986","1.3158","1.0425","6.6842","0.4711","1.3684","0.8829","6.5263","0.7255","4.6842","1.5614","2.9737","1.9794","5.1842","1.4114","4.8684","1.2980","4.9211","1.2602",39
