Word	Definition (from WordNet, Google, or Wikipedia)	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
lime	the green acidic fruit of any of various lime trees										1	1																																										
limousine	"large luxurious car; usually driven by a chauffeur"																										1																											
lingerie	women's underwear and nightclothes				1																																																	1
lion	large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male	1																													1																							
lip balm	a balm applied to the lips																																						1															
lip gloss	a cosmetic applied to the lips to provide a glossy finish, often tinted																																						1															
lipstick	makeup that is used to color the lips																																						1															
lizard	relatively long-bodied reptile with usually two pairs of legs and a tapering tail	1																																																				
llama	wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump	1																													1																							
lobster	any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae	1									1																					1											1											
lock	a fastener fitted to a door or drawer to keep it firmly closed																													1			1																					
locker	"a storage compartment for clothes and valuables; usually it has a lock"						1																																															
locket	"a small ornamental case; usually contains a picture or a lock of hair and is worn on a necklace"																																	1																				
log	a segment of the trunk of a tree when stripped of branches																																																					
loincloth	a garment that provides covering for the loins				1																																																	
lollipop	hard candy on a stick										1																		1																									
loom	a textile machine for weaving yarn into a textile																																								1													
loveseat	small sofa that seats two people												1																																									
luggage	cases used to carry belongings when traveling						1																																															
lumber	the wood of trees cut and prepared for use as building material																																																					
lunchbox	a container in which to carry a packed meal						1																																								1							
macadamia	nutlike seed with sweet and crisp white meat										1																																											
macaroni	pasta in the form of slender tubes										1																																											
machete	a large heavy knife used in Central and South America as a weapon or for cutting vegetation																											1																										
machine gun	a rapidly firing automatic gun (often mounted)																											1																										
maggot	the larva of the housefly and blowfly commonly found in decaying organic matter	1																																																				
magnet	(physics) a device that attracts iron and produces a magnetic field																																							1														
magnifier	a scientific instrument that magnifies an image																							1																1														
magnifying glass	light microscope consisting of a single convex lens that is used to produce an enlarged image																							1																1														
mail	any particular collection of letters or packages that is delivered																																																					
mailbox	a private box for delivery of mail						1																																															
makeup	cosmetics applied to the face to improve or change your appearance																																						1															
mallet	"a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing"																							1						1																								
man	an adult person who is male (as opposed to a woman)																																																					
manatee	"sirenian mammal of tropical coastal waters of America; the flat tail is rounded"	1																													1	1																						
mandolin	a stringed instrument related to the lute, usually played with a plectrum																		1																																			
mango	large oval tropical fruit having smooth skin, juicy aromatic pulp, and a large hairy seed										1	1																																										
manhole	a hole (usually with a flush cover) through which a person can gain access to an underground structure																																																					
mannequin	a life-size dummy used to display clothes																																																					
mantle	shelf that projects from wall above fireplace																																																					
map	a diagrammatic representation of the earth's surface (or part of it)																																																					
maple syrup	made by concentrating sap from sugar maples										1																									1								1										
marble	a small ball of glass that is used in various games																								1																1													
margarita	a cocktail made of tequila and triple sec with lime and lemon juice								1																																													
marijuana	a strong-smelling plant whose dried leaves can be smoked for a pleasant effect or pain reduction																					1																																
marker	a writing implement for making a mark																							1																	1						1							
marmalade	a preserve made of the pulp and rind of citrus fruits										1																									1								1										
marshmallow	spongy confection made of gelatin and sugar and corn syrup and dusted with powdered sugar										1																		1																									
mascara	makeup that is used to darken and thicken the eye lashes																																						1															
mashed potato	potato that has been peeled and boiled and then mashed										1																																											
mask	a covering to disguise or conceal the face																																																					
mast	a vertical spar for supporting sails																																																					
mat	a thick flat pad used as a floor covering																																																					
match	"lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction"																							1														1																
matchbox	a box for holding matches						1																																															
mattress	a large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed												1																																									
measuring cup	graduated cup used to measure liquid or granular ingredients						1										1																							1														
meat	the flesh of animals (including fishes and birds and snails) used as food										1																																											
meat grinder	a mill for grinding meat																																									1												
meatball	ground meat formed into a ball and fried or simmered in broth										1																																											
meatloaf	a baked loaf of ground meat										1																																											
medal	an award for winning a championship or commemorating some other event																																																					
meerkat	a mongoose-like viverrine of South Africa having a face like a lemur and only four toes	1																													1																							
megaphone	a cone-shaped acoustic device held to the mouth to intensify and direct the human voice																																																					
melon	any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh										1	1																																										
memory stick	electronic flash memory data storage devices used for storing data, typically in portable devices																																																					
metal detector	"detector that gives a signal when it detects the presence of metal; used to detect the presence of stray bits of metal in food products or to find buried metal"									1														1																														
metronome	clicking pendulum indicates the exact tempo of a piece of music																																																					
microphone	device for converting sound waves into electrical energy									1																																												
microscope	magnifier of the image of small objects																																							1														
microwave	"kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food"									1						1																										1												
milk	a white nutritious liquid secreted by mammals and used as food by human beings								1																																													
milkshake	frothy drink of milk and flavoring and sometimes fruit or ice cream							1	1																																													
minivan	"a small box-shaped passenger van; usually has removable seats; used as a family car"																										1																											
mint	the leaves of a mint plant used fresh or candied										1											1																																
mirror	polished surface that forms images by reflecting light													1																																								
missile	"a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control"																											1																										
mistletoe	"Old World parasitic shrub having branching greenish stems with leathery leaves and waxy white glutinous berries; the traditional mistletoe of Christmas"																																																					
mitten	glove that encases the thumb separately and the other four fingers together				1	1																																																
mixer	a kitchen utensil that is used for mixing foods									1						1																										1												
moccasin	"soft leather shoe; originally worn by Native Americans"				1																																								1									
modem	(from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line									1																																												
mold	container into which liquid is poured to create a given shape when it hardens						1																																		1													
mold	a fungus that produces a superficial growth on various kinds of damp or decaying organic matter																																																					
mole	small velvety-furred burrowing mammal having small eyes and fossorial forefeet	1																													1																							
money	"the most common medium of exchange; functions as legal tender"																																																					
mongoose	"agile grizzled Old World viverrine; preys on snakes and rodents"	1																													1																							
monkey	any of various long-tailed primates (excluding the prosimians)	1																													1																							
moose	"large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America"	1																													1																							
mop	"cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors"																							1																														
mosquito	two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals	1													1																																							
mosquito net	a fine net or screen (especially around beds) to protect against mosquitos																																																					
moss	tiny leafy-stemmed flowerless plants																					1																																
moth	typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae	1													1																																							
motherboard	the main circuit board for a computer																																																					
motorcycle	a motor vehicle with two wheels and a strong frame																										1																											
mouse1	any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails	1																													1																							
mouse2	"a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad"									1																																												
mousepad	a small portable pad that provides traction for the ball of a computer mouse																																																					
mousetrap	a trap for catching mice																																																					
mousse	a rich, frothy, creamy dessert made with whipped egg whites and heavy cream							1			1																																											
mouth	the externally visible part of the oral cavity on the face and the system of organs surrounding the opening			1																																																		
mouthpiece	(especially boxing) equipment that protects an athlete's mouth																						1																							1								
mud	"water soaked soil; soft wet earth"																																																					
muff	a warm tubular covering for the hands				1	1																																																
muffin	a sweet quick bread baked in a cup-shaped pan							1			1																																	1										
mug	with handle and usually cylindrical						1																																															
mulberry	sweet usually dark purple blackberry-like fruit of any of several mulberry trees of the genus Morus										1	1																																										
mulch	a protective covering of rotting vegetable matter spread to reduce evaporation and soil erosion																																																					
mullet	a man's hairstyle in which the hair is cut short at the front and sides and left long at the back																																																					
mushroom	any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium										1																																											
music box	produces music by means of pins on a revolving cylinder that strike the tuned teeth of a comb-like metal plate									1															1																													
mussel	marine or freshwater bivalve mollusk that lives attached to rocks etc.	1									1																					1											1											
mustache	an unshaved growth of hair on the upper lip			1																																																		
mustard	pungent powder or paste prepared from ground mustard seeds										1																									1																		
nacho	a tortilla chip topped with cheese and chili-pepper and broiled										1																																											
nail	a thin pointed piece of metal that is hammered into materials as a fastener																													1			1																					
nail clippers	a hand tool used to trim fingernails, toenails and hangnails																							1															1															
nail file	a small flat file for shaping the nails																							1															1															
nail polish	a cosmetic lacquer that dries quickly and that is applied to the nails to color them or make them shiny																																						1															
napkin	a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing																																																					
napkin ring	a circular band used to hold a particular person's napkin																																																					
navel	a scar where the umbilical cord was attached			1																																																		
neck	the part of an organism (human or animal) that connects the head to the rest of the body			1																																																		
necklace	jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)																																	1																				
needle	a sharp pointed implement (usually steel)																							1																	1													
nest	a structure in which animals lay eggs or give birth to their young																																																					
net	an open fabric of string or rope or wire woven together at regular intervals																																																					
nightshirt	nightclothes worn by men				1																																																	
nightstand	a small low bedside table, typically having drawers						1						1																																									
noisemaker	a device (such as a clapper or bell or horn) used to make a loud noise at a celebration																								1																													
noodle	a ribbonlike strip of pasta										1																																											
noose	"a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled"																																																					
nose	"the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals"			1																																																		
notebook	a book with blank pages for recording notes or memoranda																			1																											1							
notepad	a pad of paper for keeping notes																			1																											1							
nut	usually large hard-shelled seed										1																																											
nutcracker	a compound lever used to crack nuts open																1							1																														
oar	an implement used to propel or steer a boat																						1																															
oatmeal	porridge made of rolled oats										1																																	1										
octopus	bottom-living cephalopod having a soft oval body with eight long tentacles	1									1																					1											1											
odometer	a meter that shows mileage traversed																				1																																	
oil	any of a group of liquid edible fats that are obtained from plants																																																					
oilcan	a can with a long nozzle to apply oil to machinery						1																																															
okra	long green edible beaked pods of the okra plant										1															1																												
olive	"small ovoid fruit of the European olive tree; important food and source of oil"										1																																											
omelet	"beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly"										1																																	1										
onion	the bulb of an onion plant										1															1																												
orange	round yellow to orange fruit of any of several citrus trees										1	1																																										
orange rind	the rind of an orange																																																					
orangutan	large long-armed ape of Borneo and Sumatra having arboreal habits	1																													1																							
orchid	any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors																					1																																
organ	wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard																		1																																			
origami	the Japanese art of folding paper into shapes representing objects (e.g., flowers or birds)																																																					
ostrich	"fast-running African flightless bird with two-toed feet; largest living bird"	1	1																																																			
otter	freshwater carnivorous mammal having webbed and clawed feet and dark brown fur	1																													1																							
ottoman	thick cushion used as a seat												1																																									
outfit	a set of clothing (with accessories)				1																																																	
outlet	receptacle providing a place in a wiring system where current can be taken to run electrical devices																																																					
oven	kitchen appliance used for baking or roasting															1																										1												
overalls	(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)				1																																												1				1	
owl	nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes	1	1																																																			
oyster	"marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters"	1									1																					1											1											
pacifier	device used for an infant to suck or bite on																																																					
paddle	a short light oar used without an oarlock to propel a canoe or small boat																						1																															
padlock	"a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut"																													1			1																					
paint	"a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating"																																								1													
paintbrush	a brush used as an applicator (to apply paint)																							1																	1													
painting	graphic art consisting of an artistic composition made by applying paints to a surface																																																					
pajamas	"(usually plural) loose-fitting nightclothes worn for sleeping or lounging; have a jacket top and trousers"				1																																																	
palette	board that provides a flat surface on which artists mix paints and the range of colors used																																								1													
pallet	a portable platform for storing or moving goods that are stacked on it																																																					
palm tree	any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves																					1																																
pan	cooking utensil consisting of a wide metal vessel						1																																															
pancake	a flat cake of thin batter fried on both sides on a griddle										1																																	1										
panda	"large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae"	1																													1																							
panther	a leopard in the black color phase	1																													1																							
panties	short underpants for women or children (usually used in the plural)				1																																																	
pants	(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately				1																																																	
pantsuit	a pair of pants and a matching jacket worn by women				1																																																	1
pantyhose	a woman's tights consisting of underpants and stockings				1																																																	1
papaya	large oval melon-like tropical fruit with yellowish flesh										1	1																																										
paper	a material made of cellulose pulp derived mainly from wood or rags or certain grasses																			1																					1						1							
paper bag	a bag made of paper or plastic for holding customer's purchases						1																																															
paper plate	a disposable plate made of cardboard																																																					
paper towel	a disposable towel made of absorbent paper																																																					
paperclip	a wire or plastic clip for holding sheets of paper together																			1													1														1							
paperweight	a weight used to hold down a stack of papers																																																					
parachute	rescue equipment consisting of a device that fills with air and retards your fall																																													1								
parfait	layers of ice cream and syrup and whipped cream							1			1																																											
parking meter	"a coin-operated timer located next to a parking space; depositing money into it entitles you to park your car there for a specified length of time"																																																					
parrot	usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds	1	1																																																			
parsley	aromatic herb with flat or crinkly leaves that are cut finely and used to garnish food										1											1				1																												
pasta	shaped and dried dough made from flour and water and sometimes egg										1																																											
pastry	any of various baked foods made of dough or batter							1			1																																	1										
patch	a piece of cloth used as decoration or to mend or cover a hole					1																																			1													
patty	small flat mass of chopped food										1																																											
payphone	a public telephone that is operated by coins or by a credit or prepaid card																																																					
pea	the fruit or seed of a pea plant										1															1																												
peach	downy juicy fruit with sweet yellowish or whitish flesh										1	1																																										
peacock	"male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots"	1	1																																																			
peanut	underground pod of the peanut vine										1																																											
peanut butter	a spread made from ground peanuts										1																									1								1										
pear	sweet juicy gritty-textured fruit available in many varieties										1	1																																										
pearl	"a smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel"																																																					
pecan	smooth brown oval nut of south central United States										1																																											
pedal	a lever that is operated with the foot																				1																																	
pedometer	measuring instrument for recording the number of steps taken in walking																																																					
peeler	a device for peeling vegetables or fruits																1							1																														
peg	a wooden pin pushed or driven into a surface																													1			1																					
pelican	large long-winged warm-water seabird having a large bill with a distensible pouch for fish	1	1																																																			
pen	a writing implement with a point from which ink flows																			1				1																	1						1							
pencil	"a thin cylindrical pointed writing implement; a rod of marking substance encased in wood"																			1				1																	1						1							
pencil sharpener	a rotary implement for sharpening the point on pencils																			1				1																	1						1							
pendulum	an apparatus consisting of an object mounted so that it swings freely under the influence of gravity																																							1														
penguin	short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers	1	1																																																			
penholder	a holder or handle for a pen point																																																					
penlight	a small flashlight resembling a fountain pen																	1						1														1																
pennant	a flag longer than it is wide (and often tapering)																																																					
pepper mill	a mill for grinding pepper																1																																					
pepper1	"pungent seasoning from the berry of the common pepper plant of East India; use whole or ground"										1																																											
pepper2	sweet and hot varieties of fruits of plants of the genus Capsicum										1															1																												
peppermint	a candy flavored with peppermint oil										1																		1																									
pepperoni	a pork and beef sausage (or a thin slice of this sausage)										1																																											
perfume	a toiletry that emits and diffuses a fragrant odor																																						1															
periscope	an optical instrument that provides a view of an otherwise obstructed field																																																					
pesto	"a sauce typically served with pasta; contains crushed basil leaves and garlic and pine nuts and Parmesan cheese in olive oil"										1																									1																		
pet food	food prepared for animal pets																																																					
petal	part of the perianth that is usually brightly colored																																																					
petri dish	a shallow dish used to culture bacteria						1																																	1														
pheasant	large long-tailed gallinaceous bird native to the Old World but introduced elsewhere	1	1																																																			
phone	electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds																																																					
phone booth	booth for using a telephone																																																					
photo booth	a vending machine or modern kiosk that contains an automated, usually coin-operated, camera and film processor																																																					
photograph	"a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material"																																																					
piano	a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds																		1																																			
pickax	a heavy iron tool with a wooden handle and a curved head that is pointed on both ends																							1				1		1							1																	
pickle	vegetables (especially cucumbers) preserved in brine or vinegar										1																																											
pie	dish baked in pastry-lined pan often with a pastry top							1			1																																											
piecrust	pastry used to hold pie fillings										1																																											
pig	domestic swine	1									1																				1																					1		
pigeon	wild and domesticated birds having a heavy body and short legs	1	1																																																			
piggy bank	a child's coin bank (often shaped like a pig)						1																																															
piglet	a young pig	1																													1																					1		
pill	a dose of medicine in the form of a small pellet																																																					
pillbox	a small case for holding pills						1											1																																				
pillow	a cushion to support the head of a sleeping person													1																																								
pin	a small slender (often pointed) piece of wood or metal used to support or fasten or attach things																							1									1								1													
pinball	"a game played on a sloping board; the object is to propel marbles against pins or into pockets"									1																																									1			
pincushion	a small stiff cushion into which pins are stuck ready for use																																								1													
pine needle	the leaf of a conifer																																																					
pine tree	a coniferous tree																					1																																
pineapple	"large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated"										1	1																																										
pinecone	the seed-producing cone of a pine tree													1																																								
ping-pong table	a table used for playing table tennis																						1																															
pinwheel	a toy consisting of vanes of colored paper or plastic that is pinned to a stick and spins when it is pointed into the wind													1											1																													
pipe	"a tube with a small bowl at one end; used for smoking tobacco"																																																					
pipe	a long tube made of metal or plastic that is used to carry water or oil or gas etc.																													1																								
pistachio	nut of Mediterranean trees having an edible green kernel										1																																											
pita	usually small round bread that can open into a pocket for filling										1																																											
pitcher	an open vessel with a handle and a spout for pouring						1																																															
pitchfork	a long-handled hand tool with sharp widely spaced prongs for lifting and pitching hay																							1				1									1																	
pizza	Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese										1																																											
place mat	a mat serving as table linen for an individual place setting													1																																								
plant	(botany) a living organism lacking the power of locomotion																					1																																
plaster cast	bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal																	1																																				
plastic film	a thin sheet of (usually plastic and usually transparent) material used to wrap or cover things																																																					
plate	dish on which food is served or from which food is eaten																																																					
platypus	"small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet; only species in the family Ornithorhynchidae"	1																													1																							
playing card	one of a pack of cards that are used to play card games																																																		1			
playpen	a portable enclosure in which babies may be left to play																																																					
pliers	a gripping hand tool with two hinged arms and (usually) serrated jaws																							1						1																				1				
plug	an electrical device with two or three pins that is inserted in a socket to make an electrical connection																													1																								
plum	any of numerous varieties of small to medium-sized round or oval fruit having a smooth skin and a single pit										1	1																																										
plunger	"hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains"																							1						1																								
pocket	a small pouch inside a garment for carrying small articles						1																																															
pocket watch	a watch that is carried in a small watch pocket																																	1																				
pocketknife	"a knife with a blade that folds into the handle; suitable for carrying in the pocket"																							1				1																										
pogo stick	"plaything consisting of a pole with foot rests and a strong spring; propelled by jumping"																								1																													
poinsettia	tropical American plant having poisonous milk and showy tapering usually scarlet petallike leaves surrounding small yellow flowers																					1																																
poker	"fire iron consisting of a metal rod with a handle; used to stir a fire"																							1																														
polar bear	white bear of Arctic regions	1																													1																							
polaroid	"(trade mark) a plastic film that can polarize a beam of light; often used in sunglasses to eliminate glare"																																																					
pole	a long (usually round) rod of wood or metal or plastic																																																					
police car	"a car in which policemen cruise the streets; equipped with radiotelephonic communications to headquarters"																										1																											
polisher	a power tool used to buff surfaces																							1																														
polo shirt	a shirt with short sleeves designed for comfort and casual wear				1																																																	
polygraph	a medical instrument that records several physiological processes simultaneously (e.g., pulse rate and blood pressure and respiration and perspiration)									1																														1														
pom-pom	"decoration consisting of a ball of tufted wool or silk; usually worn on a hat"																																								1													
pomegranate	large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind										1	1																																										
pony	any of various breeds of small gentle horses usually less than five feet high at the shoulder	1																													1																							
poodle	"an intelligent dog with a heavy curly solid-colored coat that is usually clipped; an old breed sometimes trained as sporting dogs or as performing dogs"	1																													1																							
pool table	game equipment consisting of a heavy table on which pool is played																																																					
popcorn	small kernels of corn exploded by heat										1																																											
poppy	annual or biennial or perennial herbs having showy flowers										1											1																																
popsicle	ice cream or water ice on a small wooden stick							1			1																																											
porcupine	relatively large rodents with sharp erectile bristles mingled with the fur	1																													1																							
porthole	a window in a ship or airplane																																																					
possum	nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America	1																													1																							
poster	a large printed picture used for decoration													1																																								
pot	"metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid"						1																																															
potato	"an edible tuber native to South America; a staple food of Ireland"										1															1																												
potholder	an insulated pad for holding hot pots																																																					
pothole	a pit or hole produced by wear or weathering (especially in a road surface)																																																					
potpie	deep-dish meat and vegetable pie or a meat stew with dumplings										1																																											
potpourri	a jar of mixed flower petals and spices used as perfume													1																																								
powder	"a solid substance in the form of tiny loose particles; a solid that has been pulverized"																																																					
power line	cable used to distribute electricity																																																					
praying mantis	the common mantis	1													1																																							
pretzel	glazed and salted cracker typically in the shape of a loose knot										1																																											
printer	a machine that prints									1																																												
prism	"optical device having a triangular shape and made of glass or quartz; used to deviate a beam or invert an image"																																							1														
projector	an optical instrument that projects an enlarged image onto a screen									1																																												
propeller	a mechanical device that rotates to push against air or water																																																					
prune	dried plum										1	1																																										
puck	a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey																						1																															
pudding	any of various soft sweet desserts thickened usually with flour and baked or boiled or steamed							1			1																																											
puddle	a small body of standing water (rainwater) or other liquid																																																					
puffin	any of two genera of northern seabirds having short necks and brightly colored compressed bills	1	1																																																			
pug	small compact smooth-coated breed of Asiatic origin having a tightly curled tail and broad flat wrinkled muzzle	1																													1																							
pulley	a simple machine consisting of a wheel with a groove in which a rope can run to change the direction or point of application of a force applied to the rope																																																	1				
pulpit	a platform raised above the surrounding level to give prominence to the person on it																																																					
pump	a mechanical device that moves fluid or gas by pressure or suction																																																	1				
pumpkin	usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early autumn										1															1																												
punch1	"an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl"								1																																													
punch2	a tool for making holes or indentations																			1				1																														
punching bag	an inflated ball or bag that is suspended and punched for training in boxing																						1																															
puppet	"a doll with a hollow head of a person or animal and a cloth body; intended to fit over the hand and be manipulated with the fingers"																								1																													
puppy	a young dog	1																													1																							
purse	a small bag for carrying money					1	1																																															
quad	a motorcycle with four large tires, typically used for racing																										1																											
quesadilla	a tortilla that is filled with cheese and heated										1																																											
quiche	"a tart filled with rich unsweetened custard; often contains other ingredients (as cheese or ham or seafood or vegetables)"										1																																											
